"Bill of Material for "
"On 22-09-2017 at 12:33:47"

"Comment","Pattern","Quantity","Components"

"0.1µF-10V","0402C_HIGH_DENSITY","1","C403","0.1µF ±10% 10V X5R Ceramic Capacitor 0402"
"0781710002","PAD 0781710002","1","J202","1.20MM WTB HEADER VERT 2POS"
"1.2nF-10V","0402C_HIGH_DENSITY","1","C501","1.2nF ±10% 10V U2J Ceramic Capacitor 0402"
"1µF-10V","0402C_HIGH_DENSITY","5","C301, C302, C304, C306, C408","1µF ±10% 10V X5R Ceramic Capacitor 0402"
"10µF-16V","0603C_HIGH_DENSITY","1","C303","16µF ±10% 16V X5R Ceramic Capacitor 0603"
"10µH","0805L_HIGH_DENSITY","1","L301","FIXED IND 10UH 500MA 300 MOHM"
"100","0402R-GENERIC","1","R502","RES SMD 100OHM 1% 1/16W 0402"
"10K","0402R-GENERIC","5","R308, R403, R404, R411, R503","RES SMD 10kOHM 1% 1/16W 0402"
"120220-0161","PAD 1.0x3.76mm","1","J204","UNIVERSAL CONTACT 2.5MM SMD"
"150K","0402R-GENERIC","1","R307","RES SMD 150kOHM 5% 1/16W 0402"
"1K","0402R-GENERIC","1","R501","RES SMD 1kOHM 1% 1/16W 0402"
"2.2nF","0402C_HIGH_DENSITY","1","C404","2.2nF ±10% 50V X5R Ceramic Capacitor 0402"
"200K","0402R-GENERIC","1","R306","RES SMD 200kOHM 1% 1/16W 0402"
"22µF","0603C-GENERIC","1","C405","22µF ±20% 10V Ceramic Capacitor X5R 0603"
"390K","0402R-GENERIC","2","R408, R412","RES SMD 390kOHM 1% 1/16W 0402"
"4.7µF","0402C_HIGH_DENSITY","3","C307, C406, C407","4.7µF ±10% 6.3V X5R Ceramic Capacitor 0402"
"41.2K","0402R-GENERIC","2","R310, R406","RES SMD 41.2kOHM 1% 1/16W 0402"
"5.6K","0402R-GENERIC","1","R309","RES SMD 5.6kOHM 5% 1/16W 0402"
"560","0402R-GENERIC","1","R401","RES SMD 560OHM 1% 1/16W 0402"
"698","0402R-GENERIC","1","R402","RES SMD 698 OHM 1% 1/16W 0402"
"820K","0402R-GENERIC","4","R301, R302, R305, R409","RES SMD 820kOHM 1% 1/16W 0402"
"82K","0402R-GENERIC","3","R303, R304, R410","RES SMD 82kOHM 1% 1/16W 0402"
"BLM15KD121SN1D","0402L_High Speed","2","L201, L202","FERRITE BEAD 120 OHM 0402 1LN"
"BLM21PG331SN1D","0805L_HIGH_DENSITY - Hybrid 0402","1","L401","0805 Ferrite Bead 330Ohm@100MHz"
"CSD13380F3T","CSD13380F3-DFN40P69X35-3L","2","Q402, Q502","12V N-CHANNEL FEMTOFET MOSFET"
"CSD23382F4","CSD23382F4 -DFN65P100X35-3L","2","Q401, Q403","MOSFET P-CH 12V 22A 3PICOSTAR"
"CYBLE-214009-00","CYBLE-014008-00_MinKeepOut","1","MOD401","BLE PSoC Module 4.1"
"DNP","0603C-GENERIC","1","C305",""
"Do Not Place","0402R-GENERIC","2","R405, R407","Do Not Place"
"KPT-2012P3BT","APT1608F3C","1","D501","0603 INFRARED DIODE"
"KPT-2012P3BT","APT2012P3BT","1","Q501","0805 PHOTOTRANSISTOR"
"KXT311LHS","KXT311LHS_B","2","SW401, SW402","SPST Tactile Switch"
"LED RG","LED GRN/RED DIFF 1208 R/A SMD","1","D401","LED GRN/RED DIFF 1208 R/A SMD"
"LXES15AAA1-133","0402C-GENERIC","3","D201, D402, D403","TVS DIODE 15VWM 0402"
"M24256-DFCS6TP/K","BGAS8_M24256-DFCS6_1","1","U402","IC EEPROM 256KBIT 1MHZ 8WLCSP"
"PCA9571GUX","PCA9571-XQFN12","1","U401","IC I/O EXPANDER I2C 12XQFN"
"STBC03","STBC03","1","U302","Li-Ion linear battery charger"
"TPS61046YFFR","TPS61046YFFR","1","U301","Boost converter 28V"
"USB3155","USB3155","1","J201","CONN RCPT USB-mini B 2.0 5POS SLD"
