Altium Designer Pick and Place Locations
C:\Users\KaKa\Documents\Altium\Projects\Connect Medical Boards\EFM1_Hybrid\Project Outputs for 105358-3BA002-01_EFM1-hybrid\Pick Place Output\Pick Place for 105358-3LA002-01_EFM1-Hybrid.csv

========================================================================================================================
File Design Information:

Date:       18-10-17
Time:       13:15
Revision:   158
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Ref-X(mm)","Pad-X(mm)","Pad-Y(mm)"
"R453","0R","TopLayer","0603R-GENRIC","0603 RES","-10.1600","5.4260","90","RES SMD 0 OHM 1% 1/10W 0603","Standard","-10.1600","-10.1600","4.6760"
"C201","1µF-10V","TopLayer","0402C_HIGH_DENSITY","","17.1380","14.0780","270","1µF ±10% 10V X5R Ceramic Capacitor 0402","Standard","17.1380","17.1380","14.4680"
"C202","4.7µF","TopLayer","0402C_HIGH_DENSITY","","23.8000","15.7000","360","4.7µF ±10% 6.3V X5R Ceramic Capacitor 0402","Standard","23.8000","23.4100","15.7000"
"C203","10µF-16V","TopLayer","0603C_HIGH_DENSITY","","27.7000","14.6000","270","16µF ±10% 16V X5R Ceramic Capacitor 0603","Standard","27.7000","27.7000","15.2000"
"C204","1µF-10V","TopLayer","0402C_HIGH_DENSITY","","19.7000","15.9000","270","1µF ±10% 10V X5R Ceramic Capacitor 0402","Standard","19.7000","19.7000","16.2900"
"C205","10µF-16V","TopLayer","0603C_HIGH_DENSITY","","17.6000","30.8000","90","16µF ±10% 16V X5R Ceramic Capacitor 0603","Standard","17.6000","17.6000","30.2000"
"C206","1µF-10V","TopLayer","0402C_HIGH_DENSITY","","18.5420","31.0070","270","1µF ±10% 10V X5R Ceramic Capacitor 0402","Standard","18.5420","18.5420","31.3970"
"C207","1µF-10V","TopLayer","0402C_HIGH_DENSITY","","15.9000","29.4000","360","1µF ±10% 10V X5R Ceramic Capacitor 0402","Standard","15.9000","15.5100","29.4000"
"C208","4.7µF","TopLayer","0402C_HIGH_DENSITY","","17.3000","24.5900","90","4.7µF ±10% 6.3V X5R Ceramic Capacitor 0402","Standard","17.3000","17.3000","24.2000"
"C301","0.1µF-10V","TopLayer","0402C_HIGH_DENSITY","","43.8000","30.8000","360","0.1µF ±10% 10V X5R Ceramic Capacitor 0402","Standard","43.8000","43.4100","30.8000"
"C302","2.2nF","TopLayer","0402C_HIGH_DENSITY","","50.7000","5.2000","270","2.2nF ±10% 50V X5R Ceramic Capacitor 0402","Standard","50.7000","50.7000","5.5900"
"C303","0.1µF-10V","TopLayer","0402C_HIGH_DENSITY","","20.1290","2.3740","90","0.1µF ±10% 10V X5R Ceramic Capacitor 0402","Standard","20.1290","20.1290","1.9840"
"C304","4.7µF","TopLayer","0402C_HIGH_DENSITY","","13.9130","1.0780","360","4.7µF ±10% 6.3V X5R Ceramic Capacitor 0402","Standard","13.9130","13.5230","1.0780"
"C305","4.7µF","TopLayer","0402C_HIGH_DENSITY","","13.9130","2.8560","180","4.7µF ±10% 6.3V X5R Ceramic Capacitor 0402","Standard","13.9130","14.3030","2.8560"
"C306","1µF-10V","TopLayer","0402C_HIGH_DENSITY","","4.9790","12.1270","360","1µF ±10% 10V X5R Ceramic Capacitor 0402","Standard","4.9790","4.5890","12.1270"
"C401","1.2nF-10V","TopLayer","0402C_HIGH_DENSITY","","4.6000","46.2000","360","1.2nF ±10% 10V U2J Ceramic Capacitor 0402","Standard","4.6000","4.2100","46.2000"
"C402","1.2nF-10V","TopLayer","0402C_HIGH_DENSITY","","-11.5570","5.5320","90","1.2nF ±10% 10V U2J Ceramic Capacitor 0402","Standard","-11.5570","-11.5570","5.1420"
"C403","1.2nF-10V","TopLayer","0402C_HIGH_DENSITY","","-13.6000","43.5000","360","1.2nF ±10% 10V U2J Ceramic Capacitor 0402","Standard","-13.6000","-13.9900","43.5000"
"C404","1.2nF-10V","TopLayer","0402C_HIGH_DENSITY","","-13.4000","24.7000","360","1.2nF ±10% 10V U2J Ceramic Capacitor 0402","Standard","-13.4000","-13.7900","24.7000"
"C405","1.2nF-10V","TopLayer","0402C_HIGH_DENSITY","","21.7000","47.1000","270","1.2nF ±10% 10V U2J Ceramic Capacitor 0402","Standard","21.7000","21.7000","47.4900"
"C501","0.1µF-10V","TopLayer","0402C_HIGH_DENSITY","","68.1999","51.3999","90","0.1µF ±10% 10V X5R Ceramic Capacitor 0402","Standard","68.1999","68.1999","51.0099"
"C502","1.2nF-10V","TopLayer","0402C_HIGH_DENSITY","","51.5000","49.6000","270","1.2nF ±10% 10V U2J Ceramic Capacitor 0402","Standard","51.5000","51.5000","49.9900"
"C503","0.1µF-10V","TopLayer","0402C_HIGH_DENSITY","","37.1000","50.3000","270","0.1µF ±10% 10V X5R Ceramic Capacitor 0402","Standard","37.1000","37.1000","50.6900"
"D1","LXES15AAA1-133","TopLayer","0402C-GENERIC","Chip Capacitor, 2-Leads, Body 1.00x0.50mm, IPC Medium Density","30.0000","7.3000","360","TVS DIODE 15VWM 0402","Standard","30.0000","29.4900","7.3000"
"D301","LED RG","TopLayer","LED_GRN/RED_DIFF_1208_R/A_SMD","LED_BRPY1211F-TR","71.0250","27.4000","90","LED GRN/RED DIFF 1208 R/A SMD","Standard","70.8000","70.8000","25.9000"
"D302","LXES15AAA1-133","TopLayer","0402C-GENERIC","Chip Capacitor, 2-Leads, Body 1.00x0.50mm, IPC Medium Density","43.8000","32.8000","180","TVS DIODE 15VWM 0402","Standard","43.8000","44.3100","32.8000"
"D303","LXES15AAA1-133","TopLayer","0402C-GENERIC","Chip Capacitor, 2-Leads, Body 1.00x0.50mm, IPC Medium Density","20.0230","5.4220","270","TVS DIODE 15VWM 0402","Standard","20.0230","20.0230","5.9320"
