Altium Designer Pick and Place Locations
C:\Users\KaKa\Documents\Altium\Projects\Connect Medical Boards\FP1\Project Outputs for 105358-3BA001-03_FP1\Pick Place Output\Pick Place for 105358-3LA001-03_FP1.csv

========================================================================================================================
File Design Information:

Date:       22-02-18
Time:       14:56
Revision:   204
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D403","LXES15AAA1-133","BottomLayer","0402C-GENERIC","5.0800mm","0.3000mm","270","TVS DIODE 15VWM 0402"
"U302","STBC03","TopLayer","STBC03","2.9974mm","-2.0605mm","360","Li-Ion linear battery charger"
"U301","TPS61046YFFR","TopLayer","TPS61046YFFR","9.4228mm","-0.0575mm","360","Boost converter 28V"
"R409","82K","TopLayer","0402R-GENERIC","2.0000mm","0.2368mm","180","RES SMD 82kOHM 1% 1/16W 0402"
"R404","41.2K","TopLayer","0402R-GENERIC","-0.9600mm","-2.3100mm","270","RES SMD 41.2kOHM 1% 1/16W 0402"
"R310","41.2K","TopLayer","0402R-GENERIC","2.4427mm","-4.6188mm","90","RES SMD 41.2kOHM 1% 1/16W 0402"
"R309","5.6K","TopLayer","0402R-GENERIC","3.8486mm","0.2368mm","180","RES SMD 5.6kOHM 5% 1/16W 0402"
"R308","10K","TopLayer","0402R-GENERIC","1.3600mm","-3.2300mm","270","RES SMD 10kOHM 1% 1/16W 0402"
"R303","82K","TopLayer","0402R-GENERIC","8.0500mm","-0.2100mm","90","RES SMD 82kOHM 1% 1/16W 0402"
"R302","820K","TopLayer","0402R-GENERIC","8.6500mm","-1.6200mm","180","RES SMD 820kOHM 1% 1/16W 0402"
"R301","820K","TopLayer","0402R-GENERIC","6.6907mm","-0.6872mm","180","RES SMD 820kOHM 1% 1/16W 0402"
"Q402","CSD13380F3T","BottomLayer","CSD13380F3-DFN40P69X35-3L","0.5350mm","-1.6700mm","360","12V N-CHANNEL FEMTOFET MOSFET"
"Q401","CSD23382F4","TopLayer","CSD23382F4_-DFN65P100X35-3L","1.1800mm","-4.6100mm","360","MOSFET P-CH 12V 22A 3PICOSTAR"
"L301","10µH","TopLayer","0805L_HIGH_DENSITY","11.5575mm","0.4000mm","270","FIXED IND 10UH 500MA 300 MOHM"
